出品者SKU	ASIN	価格	数量
m400025653	B086LGZFWZ	28599	1
m40028212196	B086J811QN	9580	1
m40028221469	B085M7C968	7105	1
m400328807	B086MMCH3J	7780	1
m400426169	B0865VXD68	29200	1
m400445874	B086S332C3	14168	1
m400454478	B086N5XVRG	13565	1
m400466148	B086PGTLWL	14080	1
m400547672	B08526JGH1	68673	1
m400675431	B084RHCDHQ	27172	1
m40075741969	B086SN1TZY	12989	1
m400786195	B086QLT9TY	37873	1
m400959853	B082D6JHZG	15284	1
m40101072453	B0855NWDTV	5487	1
m401056220	B084BWQDJ2	8800	1
m401206874	B07ZRZML9M	10286	1
m40126762524	B07YRWTRXT	14594	1
m40140031910	B084RL7T2R	11520	1
m401458854	B086Z1V9VG	15229	1
m401482323	B084S88ZLC	14935	1
m401508019	B085DQM3J6	20323	1
m40162191218	B086BXFRFL	17650	1
m40164525827	B07ZMP9X2L	16905	1
m40171156730	B07WHJHM9S	12037	1
m401747165	B083F33FTQ	61200	1
m40176766960	B083ZZS98B	15800	1
m401776337	B085G7ZHZZ	6200	1
m401814201	B085CH6DNL	32045	1
m401948476	B082FDN387	17425	1
m401976423	B086X6MKXW	39400	1
m401989101	B07SYG2PZX	43910	1
m40209731475	B08428HX6T	13106	1
m40220457406	B085CLBSYQ	8691	1
m402231121	B081929RZL	48755	1
m402243100	B086SBQ2KP	11460	1
m40228765305	B08116VDMD	39033	1
m402360122	B0872DBCH7	23935	1
m40236836250	B087BVRRWY	17179	1
m402379544	B084JL4Q7Q	14940	1
m40239504948	B07ZSCT5HB	9896	1
m40246458778	B084G9LR9J	13897	1
m40252911300	B07YJY9SZS	24674	1
m40257243205	B07Z25S396	5018	1
m40262770545	B085XWLNTN	14878	1
m40280600454	B085N6R9QM	6670	1
m402810953	B085XJNK93	7480	1
m40287959108	B086J8ZSG9	19642	1
m40314580342	B07JW5GW8K	16854	1
m40315012811	B0867RCTXR	56788	1
m40324381961	B0825669SY	11670	1
m40327355864	B08578CSDB	6670	1
m40332926628	B07Y3YPRLJ	10360	1
m40335033189	B07X3V2TYZ	97566	1
m403450469	B086ZLLZ47	19240	1
m40358116885	B084QFB4SN	8900	1
m403602397	B085HZ9QRR	162725	1
m40362308109	B0851YTYHX	22032	1
m40369333439	B085NX3QZT	68197	1
m404068363	B0824L5Y6T	16823	1
m404134668	B084NTK6FL	36510	1
m40415158566	B082WMHDK8	13951	1
m40426477612	B07Z6Q7H26	9100	1
m40433781706	B086YZRLLP	17797	1
m404364935	B0834J7CQR	37182	1
m40436516698	B083NNVG1J	7600	1
m40450519913	B07Y422VVF	9708	1
m40451874656	B081Y2PB85	5646	1
m40469060875	B07YVKXG9R	23603	1
m40474409561	B07ZG3LNLX	68960	1
m40477655788	B07ZTKBJTD	8956	1
m40478885673	B086HXVMDY	14180	1
m404953071	B086SNX3BZ	23780	1
m40495833664	B07ZG44KB5	8655	1
m405016214	B07WMQKVXG	18380	1
m40510156464	B086J83FZ3	15409	1
m40521304800	B07YQX87SG	9950	1
m40524694224	B084HKYZWC	4196	1
m40532619904	B086J12YGM	9432	1
m40546408267	B08522ZZQP	14941	1
m40550289729	B086GW338L	11297	1
m40553666051	B08274DRTF	4630	1
m40554804577	B07QGNFY39	21900	1
m40555679124	B084F78SN4	11883	1
m40556961094	B085S81R9R	6780	1
m40562942274	B08595ZP3N	23441	1
m40568685209	B085X853C6	19799	1
m40595600999	B081M4JZMW	16230	1
m40609798561	B083S9TWV1	5736	1
m40621310703	B085TF72M8	121300	1
m40627470289	B084HQ98NJ	5076	1
m40648949528	B081S8G2R4	21812	1
m40677321095	B0868BP7P1	16800	1
m406856543	B0759VHSLB	11005	1
m40701172833	B0877BX919	13800	1
m40709896503	B081Y2SXRR	5646	1
m40719030368	B0851QF2SL	15931	1
m40720622962	B085Q2VF2F	10988	1
m40724994663	B086VP8FG4	33597	1
m40726148128	B082VC3CVG	7300	1
m40732901601	B07ZQNY8FM	20184	1
m40792373363	B085NKTH9H	24353	1
m40795071616	B07VDLVTGH	5014	1
m40796191352	B0838C9YH1	5990	1
m40796497704	B07XXZ2GDY	10781	1
m40797449068	B084JKK9QC	10999	1
m40802177788	B086S5WCNK	15937	1
m40808218112	B086T3JS7F	43208	1
m40819121231	B0817DJ58D	4500	1
m40824715541	B07ZDJZJGW	8390	1
m40876900726	B086QL36LZ	31012	1
m40887768244	B07Z6NBH9Z	17130	1
m408884572	B082RX6Q3K	10798	1
m40898928742	B07WGFL5MK	45482	1
m409137408	B07ZDG93SG	10323	1
m40925939459	B086MS9SNL	13384	1
m40934565967	B08476XX3Y	6104	1
m40949121112	B084NZ9RJT	5090	1
m40958419034	B07ZN4ZB3N	7676	1
m40959728076	B085XWJPV6	12896	1
m40984110435	B08632FVMF	9780	1
m40988187523	B082VCYQWZ	16787	1
m40998491359	B07TYJ3DZH	13200	1
m40999085726	B082PYWPDJ	14680	1
m41042529859	B085GKNSQJ	5770	1
m41047841648	B07Z8BSCPC	10552	1
m41048988851	B085GJFT7T	28292	1
m41052840405	B0859793SF	8300	1
m41062376026	B087FSB4N5	63800	1
m41121838497	B084MBT5FJ	6900	1
m41156615013	B081XQHXZ1	151403	1
m41170988977	B086N2FP5W	15410	1
m41178177218	B0847LHRX7	16000	1
m41182003777	B085F22TN6	7308	1
m41186053928	B085YB848P	7825	1
m41190661607	B07Z45F2W1	14977	1
m41198528688	B07XCTQBNW	18322	1
m41200439282	B084FZF82L	13233	1
m41212743721	B087C6LZLQ	14107	1
m41230760316	B0841S8HPB	8880	1
m41244799494	B084BV46N3	8246	1
m41252387522	B083P4D8ZL	17505	1
m41257906920	B08596V9B2	18860	1
m41258611518	B083BRM4QR	12420	1
m41302905232	B07W94L1Z5	12063	1
m41314766652	B082WGPL2P	4780	1
m41317825709	B086QZ4R4F	27800	1
m41319922082	B086SXNCL2	12247	1
m41325832747	B08428QK2K	6400	1
m41335749347	B083P5BYPQ	29060	1
m41357660482	B084MKP44G	4441	1
m41362288225	B083NWDZZV	11676	1
m41369787192	B07Z1RP7JK	11300	1
m41377157553	B08436C8L5	4999	1
m41378129452	B07Y6VVC79	33426	1
m41395089698	B07TW5761H	8346	1
m41399350662	B0838BD4CB	8018	1
m41435429500	B085GL91BJ	17023	1
m41436699603	B0868NH1S8	14899	1
m41447945873	B085XVS4MZ	17355	1
m41453442150	B07WJJ52QQ	11710	1
m41454530022	B07VQ72VS7	15758	1
m41466580227	B086KTBHP7	28799	1
m41483991367	B0827272LY	234340	1
m41489348396	B07FRPJS4N	8590	1
m41500889954	B085XWKB7X	215298	1
m41504376760	B083Y4XHY7	4600	1
m41519161679	B085P1NGWT	11920	1
m41524080286	B083S9FHSG	7060	1
m41526433852	B085FWKQS3	13946	1
m41540606869	B083ZRJMDX	11591	1
m41543779429	B082CZWFMK	11195	1
m41557597956	B07R6DTYG1	58182	1
m41561214024	B07YZPS6FL	23269	1
m41567617168	B07QD13ZWF	394500	1
m41592151582	B086WL53HC	25494	1
m41593443282	B083NQ8RWW	57600	1
m41602254175	B084TPWRRR	16141	1
m41607197273	B07Z26HX38	7356	1
m41610544174	B08424CFDV	11132	1
m41618528322	B0848N3QTC	3930	1
m41637166374	B085N3DVKG	5815	1
m41645160404	B07ZWXPJTT	9236	1
m41654445810	B0843VGRP8	10580	1
m41655386515	B085C312K1	9780	1
m41657674560	B082GD5X32	12374	1
m41673557657	B084D1LVH3	13506	1
m41674653326	B083ZTCYY9	5790	1
m41677356972	B07ZWQGKZL	9139	1
m41677452294	B085RBWCLG	11823	1
m41680271616	B084H5X7TQ	9828	1
m41698179567	B07YZMYK81	15935	1
m41703024853	B07V5JDJ9J	61043	1
m41703527135	B084Z3YDGZ	7300	1
m41714880269	B07YSXTCJM	40610	1
m41717170400	B07SFLXJXY	5390	1
m41717871176	B084PCRM4F	7824	1
m41739174164	B087C7FTB9	10297	1
m41747445876	B086HQ392L	16196	1
m41758103021	B083739DW5	42829	1
m41779523035	B08182WTCL	9192	1
m41804434871	B085WZ3VNF	13997	1
m41816920951	B084C1RWX3	16274	1
m41826132491	B083S8ZZHN	6196	1
m41830073804	B07Z89SSF2	7490	1
m41832787050	B07Q5H9HBN	6637	1
m41834566197	B07W8HQB6F	12860	1
m41845667788	B08682MC2X	6780	1
m41850203306	B082F7RTNY	8300	1
m41851354950	B084ZRCWXB	4375	1
m41853177992	B084VN8QLS	24393	1
m41859808315	B0872SNPZN	37090	1
m41860817560	B07W6HVGNF	10066	1
m41868339240	B0842V8WX8	9032	1
m41871337649	B082RTPDHD	5280	1
m41872544251	B083ZTSQPL	9700	1
m418725526	B084MJ8457	22355	1
m41907343511	B084YQR7Q9	18690	1
m41912709620	B07ZJ4LDZK	51600	1
m41915759790	B085N2YFMZ	14132	1
m41917649863	B07T91ZQSQ	10424	1
m41920488705	B082T3XB1F	9205	1
m41926543119	B07ZN4N35N	11056	1
m41954816078	B081P3FJ61	249960	1
m41959528386	B07Y645FCQ	22770	1
m41960716255	B081S7RDLF	5580	1
m41985748218	B087JRTKR6	12574	1
m42001438776	B07TNS3CCT	44952	1
m42027020748	B0857GV3X3	18140	1
m42031429751	B08794BKCR	11297	1
m42042154715	B085N292K9	15450	1
m42045149085	B07ZRPNJGF	9700	1
m42086296634	B083SPRH3X	14320	1
m42099877257	B084HL6GJ9	8750	1
m42128674240	B07XTL571B	12460	1
m42141817549	B087D5TW5Y	6600	1
m42150636733	B07VLQFFKJ	68946	1
m42154961098	B086V77NG7	51580	1
m42160251797	B07Z3LGZ9G	6750	1
m42169093159	B07WWGNDH5	19048	1
m42197109395	B086BDZ8H6	25100	1
m42200190389	B07TF7JHDP	12424	1
m42200926321	B082MRBG2P	120780	1
m42211070003	B082P43D2V	25534	1
m42215957642	B07QDZRR68	11258	1
m42225919391	B083TJB5WK	7600	1
m42227379142	B086XH5VFX	11380	1
m42229154267	B086S676JS	8800	1
m42239820185	B082GHNWHL	6890	1
m42246819616	B084LYD58R	12959	1
m42252903792	B082ZGSB92	8580	1
m42282062490	B0845YSRSF	16883	1
m42294634501	B07ZW5LFLW	5706	1
m42306871975	B07Z48FHS4	33000	1
m42313005392	B08562FJZ9	11999	1
m42316560876	B086BM2B4D	61800	1
m42319281725	B082ZKW1F2	6073	1
m42323154659	B084MJ1WMT	21400	1
m42333523860	B082HRPKVN	14039	1
m42346813258	B086N2N7YB	27960	1
m42350248218	B0851C8NFJ	144086	1
m42351974784	B07ZG3SFBK	9680	1
m42354705457	B07WYQTYZ2	39996	1
m42356880071	B082HM35N9	4525	1
m42358308437	B07TT8NV3W	10662	1
m42372895038	B07ZDPHTKM	19904	1
m42386930254	B0855BXNBT	6670	1
m42394105929	B07MYLKLLS	10572	1
m42406551621	B07YL53L8V	7046	1
m42413632074	B086QTC8Q8	11917	1
m42414745686	B082WGYKVK	20952	1
m42441082332	B086WQ6CZ2	20810	1
m42473988767	B08522YK5H	15741	1
m42475559440	B07KQVDTB9	10485	1
m42477739493	B084YVY1BV	11871	1
m42483859549	B0846KBTHL	11844	1
m42485080767	B0844MDBGD	5294	1
m42506448123	B0848KKSMK	7278	1
m42515796572	B087D56F39	7723	1
m42529804820	B08671GRHY	38895	1
m42533206208	B07ZPDQ69T	30954	1
m42535106768	B0855QRL51	6670	1
m42547084138	B07W7LSPRM	50846	1
m42564574331	B085C6C2C5	19636	1
m42569556924	B07XR6R14R	10350	1
m42572063936	B07X8J89VL	8556	1
m42582833213	B07XGLMHKR	10304	1
m42606221077	B082S3FLG7	5022	1
m42606342425	B07ZDCHPFG	5370	1
m42625132682	B07Z65SZY5	5206	1
m42635110639	B07SZPPXSK	14213	1
m42641775877	B082S5Q4CC	13600	1
m42650847896	B08186TGGZ	8790	1
m42668124573	B07S6HPZ2B	52472	1
m42669641844	B0831QGLCV	5380	1
m42709299228	B084BNDZR4	8246	1
m42710604754	B084ZZQV5F	140121	1
m42718062999	B084DX14J9	25610	1
m42741127385	B07Y7DQHKY	48137	1
m42748258569	B085X3SVB3	11758	1
m42754546290	B084Q3BN2T	8016	1
m42756970152	B08591VGY8	6235	1
m42757531231	B0852493WM	16540	1
m42757750806	B07ZXNZCZ4	17823	1
m42770106443	B0842SMKZS	7482	1
m42770899465	B07PNQC7V5	8106	1
m42773551549	B07M6ZFPPZ	29780	1
m42779134965	B08695Z7H7	25850	1
m42786283988	B085XVG6VF	16800	1
m42794917815	B084JT8GL3	5167	1
m42804085010	B085N2CS8D	6747	1
m42812856732	B082RZHL9S	7696	1
m42814352735	B0832ZPMTS	8447	1
m42817624456	B07YMJMFSD	11307	1
m42824401684	B0843PG2DZ	18400	1
m42850813467	B0832HYP6D	6924	1
m42859672666	B0833T3VC5	10600	1
m42871042351	B082KYJPLL	5295	1
m42872393053	B084VTG112	5641	1
m42872506150	B085L2LXNL	12449	1
m42899819081	B08611H3HX	17917	1
m42929166770	B07TN7BDQK	7800	1
m42933639379	B07YKJY9R9	26799	1
m42943032272	B0826DV9SW	97350	1
m42944996768	B07V3CGSPD	31822	1
m42978875326	B0834CDZY4	13860	1
m42980935167	B084FSN2R1	23030	1
m42983221564	B086PF5M3G	12849	1
m43000532969	B086VTPLHK	11780	1
m43001118899	B0855FJ3X1	79800	1
m43012336289	B083R366TP	11222	1
m43038357225	B08526PHL4	10889	1
m43048851163	B07ZF49V4V	10386	1
m43052422508	B082WG4YVX	6747	1
m43072001910	B0863VJFTB	20366	1
m43076113068	B08358BGR9	52500	1
m43126091850	B085D8FLP6	27700	1
m43126453008	B087P8527Q	19400	1
m43127684320	B085YF8L3N	9600	1
m43130634375	B085N1NZL4	11300	1
m43133038447	B07Z2GGNXV	39220	1
m43177258141	B084M53D64	10359	1
m43190854135	B08224KBVZ	17825	1
m43197574089	B086QQ9XWP	34787	1
m43208897666	B083S9KG6N	5726	1
m43224471336	B086QYKVT9	28400	1
m43225316311	B0878XV7ZP	16300	1
m43242165035	B087DYBXHZ	23798	1
m43254524497	B0841YGZ53	15980	1
m43268441861	B081S58P4P	11000	1
m43282777543	B07YR1JPKJ	14208	1
m43299612115	B07ZQN4ZN1	21309	1
m43320626327	B08777LCMK	19377	1
m43340003320	B083JKPN95	7300	1
m43341056681	B082XYJRF2	5048	1
m43345403369	B08644LC8X	141797	1
m43348020878	B083LQ1LPN	6734	1
m43354140112	B084GPCHY6	11909	1
m43355319524	B07ZHN48XG	8780	1
m43369727482	B086N3WXX8	27280	1
m43372657754	B0825TNSW8	3472	1
m43372991461	B07ZG4L8R2	12981	1
m433790748	B086GLLJCG	21800	1
m43381563225	B0842T3C2T	36791	1
m43390045825	B085VHYFNL	8917	1
m43395872474	B082D3YTDF	14170	1
m43419436687	B07Z284JPZ	16340	1
m43441454813	B086MWP48Z	12497	1
m43446577247	B07XY1958L	13025	1
m43450908689	B07Z85NL1V	4232	1
m43463450687	B0841YDYPR	29758	1
m43482936042	B07ZM28Y56	10008	1
m43527274233	B084MN7KV4	16271	1
m43531095988	B0845RYXR8	26550	1
m43535749685	B085P271BV	24155	1
m43542459509	B0852KLR9P	11848	1
m43543733428	B0868QMX8Z	25645	1
m43544915710	B083B88WQN	12656	1
m43549079838	B084LD2MGM	9921	1
m43580609854	B085LV7RMY	29980	1
m43608845076	B087NM89BN	19400	1
m43610584138	B086PF7JFR	16800	1
m43616660905	B086XCKCDW	33200	1
m43619184518	B07Z6QGBNZ	37050	1
m43628654401	B07RWY31Z2	81468	1
m43663785851	B083H4QDXZ	9379	1
m43677555867	B086PB9RRQ	30472	1
m43678391129	B082QN3LS3	118020	1
m43682796305	B086KZ6YRT	18300	1
m43692202548	B087F38XY3	14020	1
m43717052328	B07Z2GF1ZL	28561	1
m43732794774	B084WY7ZBQ	17506	1
m43759922411	B07ZHMCBXP	8780	1
m43776576809	B084TPVQMJ	32787	1
m43783383278	B085VK3JRX	53800	1
m43809784054	B07ZTS3YRY	13692	1
m43812409373	B086PLRR2C	12973	1
m43815156278	B083P5647Y	5497	1
m43820110310	B07YRR75TB	35167	1
m43821634386	B07ZDL1HK8	6060	1
m43873666084	B082FJMLGY	15010	1
m43874626259	B07YZ3CN7K	12700	1
m43875052122	B085XY1C23	12260	1
m43875416889	B0824F5THW	8334	1
m43877252627	B083ZSNVP7	7512	1
m43890971695	B0829LHH1K	19540	1
m43901463164	B07K2WT8C4	195800	1
m43908183861	B0842N1WZP	80636	1
m43914024549	B07Q4X7X93	10874	1
m43940168187	B0826DXV8Y	24163	1
m43941398822	B085FVWZ1B	15763	1
m43946199787	B0857G85H3	18621	1
m43953287160	B086MJHF2L	21800	1
m43970407628	B0834876CT	10467	1
m43983438685	B081K8RHPP	35109	1
m43989850193	B07Y43GKWQ	11010	1
m43999874119	B08695PN8S	16769	1
m44008597565	B07ZG5NCS6	16265	1
m44010563651	B07TJ9SNWS	6381	1
m44015047085	B086J82L4N	19842	1
m44025251878	B082ZCH1V7	14300	1
m44026777272	B087M1PQQW	25500	1
m44043086955	B07QS4FJ7V	11219	1
m44048836146	B0847PYSH3	8696	1
m44052048042	B086RV3QW2	12176	1
m44053942293	B07NHCHL5X	6566	1
m44066105804	B082QW3X5F	36513	1
m44072100611	B086VV614Z	7929	1
m44075557544	B07WLLF8D6	10696	1
m44100904521	B0851TNQVV	15118	1
m44116702387	B082RVGKT5	6177	1
m44122490538	B085Y6P9S6	7048	1
m44122738762	B087JV4GX8	15778	1
m44139563720	B07ZQH8LN1	15855	1
m44143444264	B084DRBPPM	8246	1
m44156577583	B0832JF67D	21076	1
m44164159464	B0869QG7VX	32245	1
m44181447854	B082GFZZH1	16320	1
m44188796520	B08665S3BM	11945	1
m44223743154	B08738C8KX	15197	1
m44266829962	B084RQMT2F	19025	1
m44301633750	B07Z2GDMZB	6751	1
m44305424342	B085P1SJ96	21200	1
m44312599231	B0849W9RLL	6390	1
m44345100836	B084J6WCCM	10983	1
m44362186484	B083XL4SC9	24400	1
m44369193820	B084HKN6QL	4400	1
m44371207819	B084MMHYN3	5856	1
m44384578473	B083WNL7FT	5210	1
m44391326995	B083WLYYSF	9629	1
m44413813179	B087JNDVMF	18198	1
m44422761942	B07ZWLLTRG	14296	1
m44426340101	B07T5WT3V5	17076	1
m44433596697	B08265CKWC	7679	1
m44435335179	B0823S4B5G	4710	1
m44441000353	B08472R5QF	5702	1
m44441897256	B0867R1CFS	19799	1
m44456434040	B084TQ4H14	18241	1
m44471809122	B0821P9LP8	20700	1
m44472603695	B084C3252Z	20230	1
m44475873820	B085XXY6H6	9204	1
m44478964146	B085L21WY9	5938	1
m44484176485	B084JLMHMW	4792	1
m44489346009	B07YVMG4FT	14568	1
m44493339658	B07YPXLR6S	8688	1
m44493651888	B085TQSNBD	10823	1
m44498927444	B086DG55ZN	17250	1
m44515265493	B081XZTL25	6040	1
m44521770533	B087BHXHBR	12021	1
m44525513909	B0855KQH5D	21910	1
m44527452910	B07Z2YX5HS	22974	1
m44554513147	B07Z9YY9MQ	17817	1
m44557149582	B07XBMHFVM	13082	1
m44569913400	B07PHR6KS4	62116	1
m44573258092	B084KTVC15	24527	1
m44581300905	B0847Q1PNW	8596	1
m44581981423	B086H22FRW	255118	1
m44581989608	B07Z79JM9S	10618	1
m44618362990	B085RSGWH2	26270	1
m44618940345	B084TNLC5V	29959	1
m44656529357	B0848KF112	71900	1
m44669933984	B086S3P16K	13417	1
m44685505771	B082QW6Z92	52080	1
m44686803982	B085Y44PVP	9600	1
m44692278237	B083S8XD4G	5396	1
m44706257707	B0851Z59WD	52978	1
m44720839642	B081Y2Q5MD	5646	1
m44759163534	B087BDK8V1	6600	1
m44770758919	B082RJ3RDY	4500	1
m44771613407	B07WMY6QDT	21350	1
m44810118822	B087BJW51T	11458	1
m44816100399	B082962232	17200	1
m44843539477	B0867BKG7X	28600	1
m448503499	B07ZG3D4DJ	23260	1
m44878893296	B0824F77YR	4880	1
m44883661686	B086XC38MP	29100	1
m44896470322	B0861Y5F57	13054	1
m44926778146	B085G7PBCB	12800	1
m44941951991	B084FBJYZR	6626	1
m44968062496	B07Z8HSB1J	83424	1
m44972012101	B07YZB1JK2	12186	1
m44978822446	B07MLF1RPY	13889	1
m44982183883	B081LGW6MG	7866	1
m44989274928	B07ZHM7DH2	14865	1
m45002914367	B0843C4LKF	24300	1
m45026124805	B07Z6PXQB2	7669	1
m45056052744	B07YVMKWNZ	13891	1
m45072196591	B082RF757Z	44640	1
m45072391972	B07YVHQP1L	30471	1
m45073894873	B0813W4Q23	11569	1
m45087982789	B0859F1KSZ	15941	1
m45105012847	B07CS7QW4Y	5146	1
m45129693616	B082RTJ2G3	23444	1
m45138512872	B07HY99FBY	11359	1
m45147892964	B084HKF45C	8113	1
m45152945938	B07VNYTN5C	9741	1
m45158979886	B0827ZF883	4296	1
m45178824351	B07L12VDJG	11502	1
m45188885545	B07ZFYWQHL	963333	1
m45191147703	B08439C56G	4590	1
m45203031882	B082H2V4N6	10595	1
m45209854715	B08143BFQH	8333	1
m45221949857	B07ZHM4FFF	10542	1
m452271355	B086QYRPVN	65800	1
m45235191846	B084JPH87P	4979	1
m45240802943	B084V2C6XR	19431	1
m45255134500	B082BLJVJ8	8460	1
m45275231747	B082ML5WVJ	6100	1
m45288689229	B087NCK611	15892	1
m45304691433	B085MGBYTY	32800	1
m45316003543	B0819CYTQD	49969	1
m45340709792	B07Z9L49GH	19914	1
m45344355152	B07TBGWXVY	5945	1
m45351703016	B07TYZ8ZCJ	9890	1
m45371655601	B083BKLGKL	4280	1
m45381867688	B081B9PTFN	9319	1
m45387934089	B083JJ49QH	85196	1
m45397231199	B086N41GBG	89196	1
m45406033302	B086BL8ZSW	13341	1
m45409952974	B087BHH792	14274	1
m45414947113	B0869P2YCB	7218	1
m45419379514	B0861CMF4W	10780	1
m45434978371	B0867RXDTG	73182	1
m45446283854	B081D4GQGG	8781	1
m45453366735	B07ZHL72XM	22977	1
m45476627792	B0856TWYNJ	9017	1
m45493769999	B07VCFGM98	12387	1
m45507542862	B082GG8QKX	15469	1
m45513173042	B07ZM5JKTB	20024	1
m45515157396	B082LYBFC6	6050	1
m45517617893	B07ZN4SS6D	13266	1
m45535781954	B084LCC29W	22917	1
m45552249482	B082WN7Y4Q	9277	1
m45552377812	B082RF5T2C	33315	1
m45567866896	B085F3CX9Z	6800	1
m45580444531	B084D3DR8G	8186	1
m45597349932	B0863LDTML	99600	1
m45642753253	B07RV424P4	19012	1
m45644221186	B084F6YL6W	10900	1
m45646348552	B07YB8KPB4	9095	1
m45659816388	B084CV5JK6	6170	1
m45679175963	B08463HZTM	14170	1
m45696982183	B081FK9SRG	160018	1
m45702415213	B08285ST3T	16541	1
m45702462595	B084M5FV52	11186	1
m45704416074	B07YR8X41H	7560	1
m45706677253	B085ZM4Z78	10258	1
m45716145135	B084H8DWS6	12218	1
m45720437038	B087216SS3	16434	1
m45723417341	B07ZK1942S	8046	1
m45728885565	B083S8VY6J	4703	1
m45763562851	B07Z2GHFBS	12420	1
m45785734178	B07ZD5H786	4980	1
m45799251806	B0833RR5PD	6607	1
m45800699967	B083596JH9	10400	1

